Title,Genres,Tags,Difficulty,Simplified link,Traditional link,English link,Notes
高手,"wuxia, comedy",gufeng,advanced,https://m.dongmanmanhua.cn/BOY/gaoshou/list?title_no=764,,,
绝顶,"comedy, wuxia",gufeng,advanced,https://m.dongmanmanhua.cn/BOY/jueding/list?title_no=1331,,,
万里雪歌,"comedy, wuxia",gufeng,advanced,http://manhua.weibo.cn/c/68792,,,
镖人,"action, wuxia",gufeng,advanced,,https://m.kuaikanmanhua.com/comics/17382,,
步天歌,"fantasy, wuxia",gufeng,expert,http://m.kuaikanmanhua.com/mobile/2583/list/,,,
山海戮,"fantasy, wuxia",gufeng,expert,https://m.dongmanmanhua.cn/FANTASY/shanhailu/list?title_no=1319,,,
拾遗录,drama,"gufeng, anthology",expert,http://m.kuaikanmanhua.com/mobile/1538/list/,,,
天下第几,"action, romance",,advanced,http://m.kuaikanmanhua.com/mobile/472/list/,,,
黄雀传,"action, wuxia",gufeng,expert,http://m.kuaikanmanhua.com/mobile/608/list,,,
太子追杀令,"comey, wuxia",gufeng,expert,https://www.kuaikanmanhua.com/preview/web/topic/3495,,,
奇人錄,"fantasy, drama",gufeng,advanced,,http://www.comico.com.tw/814/,,"To read past chapter 20, you must use register and use reading tokens that refresh after 24 hours"
